firm_name,year,patents,citations,log_rd_lag2,jaffe_prox,rd_x_jaffe,post_2016
VESTEL,2017,931,0,6.706617807930542,0.185,1.2407242944671502,1
VESTEL,2018,52,0,6.937993462042747,0.185,1.2835287904779082,1
VESTEL,2019,116,0,7.154380954443551,0.185,1.3235604765720568,1
VESTEL,2020,128,0,7.335242771124794,0.185,1.3570199126580869,1
VESTEL,2021,126,0,7.49041772636681,0.185,1.3857272793778599,1
VESTEL,2022,145,0,7.593323814018532,0.185,1.4047649055934284,1
VESTEL,2023,115,0,7.68634594135955,0.185,1.4219739991515166,1
VESTEL,2024,39,0,7.812459141604372,0.185,1.4453049411968089,1
ARCELIK,2010,33,0,5.521460917862246,0.1,0.5521460917862246,0
ARCELIK,2011,31,0,5.521460917862246,0.1,0.5521460917862246,0
ARCELIK,2012,20,0,5.648974238161206,0.1,0.5648974238161206,0
ARCELIK,2013,21,0,5.800304041646823,0.1,0.5800304041646823,0
ARCELIK,2014,46,0,6.001909804969521,0.1,0.6001909804969521,0
ARCELIK,2015,51,0,6.232251533594787,0.1,0.6232251533594787,0
ARCELIK,2016,214,0,6.477895014039251,0.1,0.6477895014039251,1
ARCELIK,2017,278,0,6.706617807930542,0.1,0.6706617807930542,1
ARCELIK,2018,98,0,6.937993462042747,0.1,0.6937993462042747,1
ARCELIK,2019,85,0,7.154380954443551,0.1,0.7154380954443551,1
ARCELIK,2020,102,0,7.335242771124794,0.1,0.7335242771124795,1
ARCELIK,2021,87,0,7.49041772636681,0.1,0.749041772636681,1
ARCELIK,2022,169,0,7.593323814018532,0.1,0.7593323814018533,1
ARCELIK,2023,139,0,7.68634594135955,0.1,0.768634594135955,1
ARCELIK,2024,30,0,7.812459141604372,0.1,0.7812459141604373,1
FORD_OTOSAN,2010,43,0,5.521460917862246,0.332,1.8331250247302657,0
FORD_OTOSAN,2011,27,0,5.521460917862246,0.332,1.8331250247302657,0
FORD_OTOSAN,2012,12,0,5.648974238161206,0.332,1.8754594470695205,0
FORD_OTOSAN,2013,15,0,5.800304041646823,0.332,1.9257009418267452,0
FORD_OTOSAN,2014,22,0,6.001909804969521,0.332,1.992634055249881,0
FORD_OTOSAN,2015,68,0,6.232251533594787,0.332,2.0691075091534694,0
FORD_OTOSAN,2016,148,0,6.477895014039251,0.332,2.1506611446610315,1
FORD_OTOSAN,2017,204,0,6.706617807930542,0.332,2.2265971122329398,1
FORD_OTOSAN,2018,0,0,6.937993462042747,0.332,2.3034138293981923,1
FORD_OTOSAN,2019,4,0,7.154380954443551,0.332,2.375254476875259,1
FORD_OTOSAN,2020,5,0,7.335242771124794,0.332,2.4353006000134316,1
FORD_OTOSAN,2021,2,0,7.49041772636681,0.332,2.4868186851537812,1
FORD_OTOSAN,2022,1,0,7.593323814018532,0.332,2.520983506254153,1
FORD_OTOSAN,2023,1,0,7.68634594135955,0.332,2.551866852531371,1
FORD_OTOSAN,2024,8,0,7.812459141604372,0.332,2.593736435012652,1
BOSCH_TR,2010,4,0,5.521460917862246,0.355,1.9601186258410972,0
BOSCH_TR,2011,10,0,5.521460917862246,0.355,1.9601186258410972,0
BOSCH_TR,2012,4,0,5.648974238161206,0.355,2.005385854547228,0
BOSCH_TR,2013,1,0,5.800304041646823,0.355,2.0591079347846217,0
BOSCH_TR,2014,3,0,6.001909804969521,0.355,2.1306779807641796,0
BOSCH_TR,2015,21,0,6.232251533594787,0.355,2.212449294426149,0
BOSCH_TR,2016,23,0,6.477895014039251,0.355,2.2996527299839338,1
BOSCH_TR,2017,25,0,6.706617807930542,0.355,2.3808493218153424,1
BOSCH_TR,2018,21,0,6.937993462042747,0.355,2.462987679025175,1
BOSCH_TR,2019,22,0,7.154380954443551,0.355,2.5398052388274603,1
BOSCH_TR,2020,21,0,7.335242771124794,0.355,2.604011183749302,1
BOSCH_TR,2021,20,0,7.49041772636681,0.355,2.6590982928602176,1
BOSCH_TR,2022,22,0,7.593323814018532,0.355,2.695629953976579,1
BOSCH_TR,2023,26,0,7.68634594135955,0.355,2.72865280918264,1
BOSCH_TR,2024,13,0,7.812459141604372,0.355,2.773422995269552,1
OTOKAR,2010,8,0,5.521460917862246,0.315,1.7392601891266075,0
OTOKAR,2011,1,0,5.521460917862246,0.315,1.7392601891266075,0
OTOKAR,2012,0,0,5.648974238161206,0.315,1.77942688502078,0
OTOKAR,2013,2,0,5.800304041646823,0.315,1.8270957731187492,0
OTOKAR,2014,7,0,6.001909804969521,0.315,1.890601588565399,0
OTOKAR,2015,4,0,6.232251533594787,0.315,1.963159233082358,0
OTOKAR,2016,27,0,6.477895014039251,0.315,2.040536929422364,1
OTOKAR,2017,24,0,6.706617807930542,0.315,2.1125846094981204,1
OTOKAR,2018,6,0,6.937993462042747,0.315,2.1854679405434654,1
OTOKAR,2019,16,0,7.154380954443551,0.315,2.2536300006497183,1
OTOKAR,2020,19,0,7.335242771124794,0.315,2.31060147290431,1
OTOKAR,2021,12,0,7.49041772636681,0.315,2.3594815838055454,1
OTOKAR,2022,5,0,7.593323814018532,0.315,2.391897001415838,1
OTOKAR,2023,1,0,7.68634594135955,0.315,2.4211989715282582,1
OTOKAR,2024,0,0,7.812459141604372,0.315,2.4609246296053775,1
KORDSA,2010,2,0,5.521460917862246,0.34,1.8772967120731638,0
KORDSA,2011,2,0,5.521460917862246,0.34,1.8772967120731638,0
KORDSA,2012,1,0,5.648974238161206,0.34,1.9206512409748102,0
KORDSA,2013,1,0,5.800304041646823,0.34,1.9721033741599199,0
KORDSA,2014,2,0,6.001909804969521,0.34,2.0406493336896374,0
KORDSA,2015,5,0,6.232251533594787,0.34,2.118965521422228,0
KORDSA,2016,15,0,6.477895014039251,0.34,2.2024843047733453,1
KORDSA,2017,16,0,6.706617807930542,0.34,2.2802500546963844,1
KORDSA,2018,0,0,6.937993462042747,0.34,2.358917777094534,1
KORDSA,2019,4,0,7.154380954443551,0.34,2.4324895245108076,1
KORDSA,2020,7,0,7.335242771124794,0.34,2.4939825421824304,1
KORDSA,2021,7,0,7.49041772636681,0.34,2.5467420269647154,1
KORDSA,2022,13,0,7.593323814018532,0.34,2.581730096766301,1
KORDSA,2023,8,0,7.68634594135955,0.34,2.613357620062247,1
KORDSA,2024,3,0,7.812459141604372,0.34,2.6562361081454866,1
