defense_contractor,civilian_sector,year,citations_received,defense_rd_lag2_musd,log_defense_rd_lag2,jaffe_proximity,rd_x_jaffe_interaction,log_civilian_patent_stock
TUSAS,Telekomunikasyon,2021,2,528.0,6.269096283706261,0.0,0.0,9.020026965252676
TUSAS,Telekomunikasyon,2022,8,576.4,6.356801864125367,0.0,0.0,9.020026965252676
TUSAS,Telekomunikasyon,2023,1,628.9,6.443972261549457,0.0,0.0,9.020026965252676
TUSAS,Telekomunikasyon,2024,1,705.2,6.558481450523715,0.0,0.0,9.020026965252676
TUSAS,Tuketici_Elektronigi,2010,0,59.46174999999999,4.0853332486874745,0.03,0.12255999746062424,8.172729104865471
TUSAS,Tuketici_Elektronigi,2011,1,69.955,4.24785217818525,0.03,0.12743556534555747,8.172729104865471
TUSAS,Tuketici_Elektronigi,2012,1,82.3,4.410371107683024,0.03,0.1323111332304907,8.172729104865471
TUSAS,Tuketici_Elektronigi,2013,0,94.7,4.550714000192032,0.03,0.13652142000576095,8.172729104865471
TUSAS,Tuketici_Elektronigi,2014,1,118.2,4.772378104971998,0.03,0.14317134314915994,8.172729104865471
TUSAS,Tuketici_Elektronigi,2015,2,148.6,5.001258132283659,0.03,0.15003774396850975,8.172729104865471
TUSAS,Tuketici_Elektronigi,2016,2,192.1,5.258016069774511,0.03,0.15774048209323532,8.172729104865471
TUSAS,Tuketici_Elektronigi,2017,0,238.4,5.473949935191195,0.03,0.16421849805573585,8.172729104865471
TUSAS,Tuketici_Elektronigi,2018,1,302.7,5.712742216027673,0.03,0.17138226648083016,8.172729104865471
TUSAS,Tuketici_Elektronigi,2019,4,376.1,5.929855065476291,0.03,0.17789565196428872,8.172729104865471
TUSAS,Tuketici_Elektronigi,2020,12,455.3,6.120956542340736,0.03,0.18362869627022207,8.172729104865471
TUSAS,Tuketici_Elektronigi,2021,2,528.0,6.269096283706261,0.03,0.18807288851118784,8.172729104865471
TUSAS,Tuketici_Elektronigi,2022,2,576.4,6.356801864125367,0.03,0.190704055923761,8.172729104865471
TUSAS,Tuketici_Elektronigi,2023,5,628.9,6.443972261549457,0.03,0.1933191678464837,8.172729104865471
TUSAS,Tuketici_Elektronigi,2024,2,705.2,6.558481450523715,0.03,0.19675444351571145,8.172729104865471
TUSAS,Yazilim_Bilisim,2010,7,59.46174999999999,4.0853332486874745,0.22,0.8987733147112444,7.52294091807237
TUSAS,Yazilim_Bilisim,2011,1,69.955,4.24785217818525,0.22,0.934527479200755,7.52294091807237
TUSAS,Yazilim_Bilisim,2012,0,82.3,4.410371107683024,0.22,0.9702816436902653,7.52294091807237
TUSAS,Yazilim_Bilisim,2013,4,94.7,4.550714000192032,0.22,1.0011570800422471,7.52294091807237
TUSAS,Yazilim_Bilisim,2014,6,118.2,4.772378104971998,0.22,1.0499231830938396,7.52294091807237
TUSAS,Yazilim_Bilisim,2015,8,148.6,5.001258132283659,0.22,1.100276789102405,7.52294091807237
TUSAS,Yazilim_Bilisim,2016,0,192.1,5.258016069774511,0.22,1.1567635353503924,7.52294091807237
TUSAS,Yazilim_Bilisim,2017,8,238.4,5.473949935191195,0.22,1.204268985742063,7.52294091807237
TUSAS,Yazilim_Bilisim,2018,14,302.7,5.712742216027673,0.22,1.256803287526088,7.52294091807237
TUSAS,Yazilim_Bilisim,2019,8,376.1,5.929855065476291,0.22,1.304568114404784,7.52294091807237
TUSAS,Yazilim_Bilisim,2020,3,455.3,6.120956542340736,0.22,1.346610439314962,7.52294091807237
TUSAS,Yazilim_Bilisim,2021,0,528.0,6.269096283706261,0.22,1.3792011824153776,7.52294091807237
TUSAS,Yazilim_Bilisim,2022,3,576.4,6.356801864125367,0.22,1.3984964101075807,7.52294091807237
TUSAS,Yazilim_Bilisim,2023,8,628.9,6.443972261549457,0.22,1.4176738975408807,7.52294091807237
TUSAS,Yazilim_Bilisim,2024,22,705.2,6.558481450523715,0.22,1.4428659191152173,7.52294091807237
TUSAS,Ileri_Malzeme_Kimya,2010,3,59.46174999999999,4.0853332486874745,0.38,1.5524266345012403,6.824373670043086
TUSAS,Ileri_Malzeme_Kimya,2011,2,69.955,4.24785217818525,0.38,1.6141838277103948,6.824373670043086
TUSAS,Ileri_Malzeme_Kimya,2012,6,82.3,4.410371107683024,0.38,1.675941020919549,6.824373670043086
TUSAS,Ileri_Malzeme_Kimya,2013,0,94.7,4.550714000192032,0.38,1.7292713200729724,6.824373670043086
TUSAS,Ileri_Malzeme_Kimya,2014,9,118.2,4.772378104971998,0.38,1.8135036798893593,6.824373670043086
TUSAS,Ileri_Malzeme_Kimya,2015,13,148.6,5.001258132283659,0.38,1.9004780902677902,6.824373670043086
TUSAS,Ileri_Malzeme_Kimya,2016,3,192.1,5.258016069774511,0.38,1.9980461065143142,6.824373670043086
TUSAS,Ileri_Malzeme_Kimya,2017,9,238.4,5.473949935191195,0.38,2.080100975372654,6.824373670043086
TUSAS,Ileri_Malzeme_Kimya,2018,6,302.7,5.712742216027673,0.38,2.1708420420905155,6.824373670043086
TUSAS,Ileri_Malzeme_Kimya,2019,3,376.1,5.929855065476291,0.38,2.2533449248809907,6.824373670043086
TUSAS,Ileri_Malzeme_Kimya,2020,12,455.3,6.120956542340736,0.38,2.32596348608948,6.824373670043086
TUSAS,Ileri_Malzeme_Kimya,2021,9,528.0,6.269096283706261,0.38,2.3822565878083792,6.824373670043086
TUSAS,Ileri_Malzeme_Kimya,2022,8,576.4,6.356801864125367,0.38,2.4155847083676396,6.824373670043086
TUSAS,Ileri_Malzeme_Kimya,2023,3,628.9,6.443972261549457,0.38,2.4487094593887937,6.824373670043086
TUSAS,Ileri_Malzeme_Kimya,2024,15,705.2,6.558481450523715,0.38,2.4922229511990115,6.824373670043086
ROKETSAN,Otomotiv_Otonom,2010,1,24.7095,3.2071877850730095,0.0,0.0,7.00669522683704
ROKETSAN,Otomotiv_Otonom,2011,0,29.07,3.3697067145707846,0.0,0.0,7.00669522683704
ROKETSAN,Otomotiv_Otonom,2012,1,34.2,3.5322256440685598,0.0,0.0,7.00669522683704
ROKETSAN,Otomotiv_Otonom,2013,0,41.5,3.7256934272366524,0.0,0.0,7.00669522683704
ROKETSAN,Otomotiv_Otonom,2014,1,52.0,3.9512437185814275,0.0,0.0,7.00669522683704
ROKETSAN,Otomotiv_Otonom,2015,0,64.8,4.1713056033582285,0.0,0.0,7.00669522683704
ROKETSAN,Otomotiv_Otonom,2016,3,81.2,4.396915247167632,0.0,0.0,7.00669522683704
ROKETSAN,Otomotiv_Otonom,2017,1,104.7,4.651099117876491,0.0,0.0,7.00669522683704
ROKETSAN,Otomotiv_Otonom,2018,4,128.5,4.855928904335275,0.0,0.0,7.00669522683704
ROKETSAN,Otomotiv_Otonom,2019,1,158.2,5.063860055333554,0.0,0.0,7.00669522683704
ROKETSAN,Otomotiv_Otonom,2020,3,192.6,5.260615499364025,0.0,0.0,7.00669522683704
ROKETSAN,Otomotiv_Otonom,2021,4,218.4,5.38632824387075,0.0,0.0,7.00669522683704
ROKETSAN,Otomotiv_Otonom,2022,5,238.9,5.476045054331764,0.0,0.0,7.00669522683704
ROKETSAN,Otomotiv_Otonom,2023,0,264.1,5.576327819303087,0.0,0.0,7.00669522683704
ROKETSAN,Otomotiv_Otonom,2024,3,288.7,5.665388086668889,0.0,0.0,7.00669522683704
ROKETSAN,Telekomunikasyon,2010,0,24.7095,3.2071877850730095,0.0,0.0,9.020026965252676
ROKETSAN,Telekomunikasyon,2011,0,29.07,3.3697067145707846,0.0,0.0,9.020026965252676
ROKETSAN,Telekomunikasyon,2012,4,34.2,3.5322256440685598,0.0,0.0,9.020026965252676
ROKETSAN,Telekomunikasyon,2013,2,41.5,3.7256934272366524,0.0,0.0,9.020026965252676
ROKETSAN,Telekomunikasyon,2014,1,52.0,3.9512437185814275,0.0,0.0,9.020026965252676
ROKETSAN,Telekomunikasyon,2015,0,64.8,4.1713056033582285,0.0,0.0,9.020026965252676
ROKETSAN,Telekomunikasyon,2016,4,81.2,4.396915247167632,0.0,0.0,9.020026965252676
ROKETSAN,Telekomunikasyon,2017,2,104.7,4.651099117876491,0.0,0.0,9.020026965252676
ROKETSAN,Telekomunikasyon,2018,0,128.5,4.855928904335275,0.0,0.0,9.020026965252676
ROKETSAN,Telekomunikasyon,2019,0,158.2,5.063860055333554,0.0,0.0,9.020026965252676
ROKETSAN,Telekomunikasyon,2020,8,192.6,5.260615499364025,0.0,0.0,9.020026965252676
ROKETSAN,Telekomunikasyon,2021,5,218.4,5.38632824387075,0.0,0.0,9.020026965252676
ROKETSAN,Telekomunikasyon,2022,8,238.9,5.476045054331764,0.0,0.0,9.020026965252676
ROKETSAN,Telekomunikasyon,2023,6,264.1,5.576327819303087,0.0,0.0,9.020026965252676
ROKETSAN,Telekomunikasyon,2024,10,288.7,5.665388086668889,0.0,0.0,9.020026965252676
ROKETSAN,Tuketici_Elektronigi,2010,1,24.7095,3.2071877850730095,0.0,0.0,8.172729104865471
ROKETSAN,Tuketici_Elektronigi,2011,1,29.07,3.3697067145707846,0.0,0.0,8.172729104865471
ROKETSAN,Tuketici_Elektronigi,2012,0,34.2,3.5322256440685598,0.0,0.0,8.172729104865471
ROKETSAN,Tuketici_Elektronigi,2013,2,41.5,3.7256934272366524,0.0,0.0,8.172729104865471
ROKETSAN,Tuketici_Elektronigi,2014,0,52.0,3.9512437185814275,0.0,0.0,8.172729104865471
ROKETSAN,Tuketici_Elektronigi,2015,1,64.8,4.1713056033582285,0.0,0.0,8.172729104865471
ROKETSAN,Tuketici_Elektronigi,2016,2,81.2,4.396915247167632,0.0,0.0,8.172729104865471
ROKETSAN,Tuketici_Elektronigi,2017,1,104.7,4.651099117876491,0.0,0.0,8.172729104865471
ROKETSAN,Tuketici_Elektronigi,2018,4,128.5,4.855928904335275,0.0,0.0,8.172729104865471
ROKETSAN,Tuketici_Elektronigi,2019,2,158.2,5.063860055333554,0.0,0.0,8.172729104865471
ROKETSAN,Tuketici_Elektronigi,2020,2,192.6,5.260615499364025,0.0,0.0,8.172729104865471
ROKETSAN,Tuketici_Elektronigi,2021,6,218.4,5.38632824387075,0.0,0.0,8.172729104865471
ROKETSAN,Tuketici_Elektronigi,2022,3,238.9,5.476045054331764,0.0,0.0,8.172729104865471
ROKETSAN,Tuketici_Elektronigi,2023,3,264.1,5.576327819303087,0.0,0.0,8.172729104865471
ROKETSAN,Tuketici_Elektronigi,2024,7,288.7,5.665388086668889,0.0,0.0,8.172729104865471
ROKETSAN,Yazilim_Bilisim,2010,2,24.7095,3.2071877850730095,0.08,0.25657502280584077,7.52294091807237
ROKETSAN,Yazilim_Bilisim,2011,1,29.07,3.3697067145707846,0.08,0.26957653716566277,7.52294091807237
ROKETSAN,Yazilim_Bilisim,2012,1,34.2,3.5322256440685598,0.08,0.28257805152548476,7.52294091807237
ROKETSAN,Yazilim_Bilisim,2013,1,41.5,3.7256934272366524,0.08,0.2980554741789322,7.52294091807237
ROKETSAN,Yazilim_Bilisim,2014,4,52.0,3.9512437185814275,0.08,0.3160994974865142,7.52294091807237
ROKETSAN,Yazilim_Bilisim,2015,1,64.8,4.1713056033582285,0.08,0.3337044482686583,7.52294091807237
ROKETSAN,Yazilim_Bilisim,2016,2,81.2,4.396915247167632,0.08,0.35175321977341056,7.52294091807237
ROKETSAN,Yazilim_Bilisim,2017,0,104.7,4.651099117876491,0.08,0.3720879294301193,7.52294091807237
ROKETSAN,Yazilim_Bilisim,2018,2,128.5,4.855928904335275,0.08,0.388474312346822,7.52294091807237
ROKETSAN,Yazilim_Bilisim,2019,3,158.2,5.063860055333554,0.08,0.4051088044266843,7.52294091807237
ROKETSAN,Yazilim_Bilisim,2020,0,192.6,5.260615499364025,0.08,0.42084923994912204,7.52294091807237
ROKETSAN,Yazilim_Bilisim,2021,2,218.4,5.38632824387075,0.08,0.43090625950966,7.52294091807237
ROKETSAN,Yazilim_Bilisim,2022,1,238.9,5.476045054331764,0.08,0.43808360434654114,7.52294091807237
ROKETSAN,Yazilim_Bilisim,2023,9,264.1,5.576327819303087,0.08,0.44610622554424695,7.52294091807237
ROKETSAN,Yazilim_Bilisim,2024,3,288.7,5.665388086668889,0.08,0.45323104693351113,7.52294091807237
ROKETSAN,Ileri_Malzeme_Kimya,2010,1,24.7095,3.2071877850730095,0.52,1.6677376482379649,6.824373670043086
ROKETSAN,Ileri_Malzeme_Kimya,2011,2,29.07,3.3697067145707846,0.52,1.752247491576808,6.824373670043086
ROKETSAN,Ileri_Malzeme_Kimya,2012,1,34.2,3.5322256440685598,0.52,1.8367573349156512,6.824373670043086
ROKETSAN,Ileri_Malzeme_Kimya,2013,3,41.5,3.7256934272366524,0.52,1.9373605821630593,6.824373670043086
ROKETSAN,Ileri_Malzeme_Kimya,2014,3,52.0,3.9512437185814275,0.52,2.0546467336623424,6.824373670043086
ROKETSAN,Ileri_Malzeme_Kimya,2015,2,64.8,4.1713056033582285,0.52,2.169078913746279,6.824373670043086
ROKETSAN,Ileri_Malzeme_Kimya,2016,2,81.2,4.396915247167632,0.52,2.2863959285271687,6.824373670043086
ROKETSAN,Ileri_Malzeme_Kimya,2017,10,104.7,4.651099117876491,0.52,2.4185715412957753,6.824373670043086
ROKETSAN,Ileri_Malzeme_Kimya,2018,5,128.5,4.855928904335275,0.52,2.525083030254343,6.824373670043086
ROKETSAN,Ileri_Malzeme_Kimya,2019,18,158.2,5.063860055333554,0.52,2.6332072287734483,6.824373670043086
ROKETSAN,Ileri_Malzeme_Kimya,2020,11,192.6,5.260615499364025,0.52,2.7355200596692932,6.824373670043086
ROKETSAN,Ileri_Malzeme_Kimya,2021,18,218.4,5.38632824387075,0.52,2.80089068681279,6.824373670043086
ROKETSAN,Ileri_Malzeme_Kimya,2022,1,238.9,5.476045054331764,0.52,2.8475434282525174,6.824373670043086
ROKETSAN,Ileri_Malzeme_Kimya,2023,16,264.1,5.576327819303087,0.52,2.899690466037605,6.824373670043086
ROKETSAN,Ileri_Malzeme_Kimya,2024,10,288.7,5.665388086668889,0.52,2.9460018050678225,6.824373670043086
BAYKAR,Otomotiv_Otonom,2010,0,6.86375,1.9262539396109453,0.191,0.3679145024656906,7.00669522683704
BAYKAR,Otomotiv_Otonom,2011,0,8.075,2.08877286910872,0.191,0.39895561799976553,7.00669522683704
BAYKAR,Otomotiv_Otonom,2012,1,9.5,2.2512917986064953,0.191,0.4299967335338406,7.00669522683704
BAYKAR,Otomotiv_Otonom,2013,1,14.8,2.6946271807700692,0.191,0.5146737915270833,7.00669522683704
BAYKAR,Otomotiv_Otonom,2014,2,24.1,3.1822118404966093,0.191,0.6078024615348524,7.00669522683704
BAYKAR,Otomotiv_Otonom,2015,0,38.6,3.653252276470785,0.191,0.6977711848059199,7.00669522683704
BAYKAR,Otomotiv_Otonom,2016,3,58.2,4.063885354737392,0.191,0.7762021027548419,7.00669522683704
BAYKAR,Otomotiv_Otonom,2017,2,88.5,4.483002552013883,0.191,0.8562534874346518,7.00669522683704
BAYKAR,Otomotiv_Otonom,2018,6,132.0,4.882801922586371,0.191,0.9326151672139968,7.00669522683704
BAYKAR,Otomotiv_Otonom,2019,4,182.4,5.206202077640231,0.191,0.9943845968292842,7.00669522683704
BAYKAR,Otomotiv_Otonom,2020,6,236.8,5.46721590300985,0.191,1.0442382374748815,7.00669522683704
BAYKAR,Otomotiv_Otonom,2021,8,308.5,5.731721843345443,0.191,1.0947588720789796,7.00669522683704
BAYKAR,Otomotiv_Otonom,2022,1,376.2,5.9301209168669295,0.191,1.1326530951215836,7.00669522683704
BAYKAR,Otomotiv_Otonom,2023,5,438.0,6.082218910376446,0.191,1.1617038118819012,7.00669522683704
BAYKAR,Otomotiv_Otonom,2024,3,506.4,6.227326870829966,0.191,1.1894194323285234,7.00669522683704
BAYKAR,Telekomunikasyon,2010,3,6.86375,1.9262539396109453,0.0,0.0,9.020026965252676
BAYKAR,Telekomunikasyon,2011,0,8.075,2.08877286910872,0.0,0.0,9.020026965252676
BAYKAR,Telekomunikasyon,2012,0,9.5,2.2512917986064953,0.0,0.0,9.020026965252676
BAYKAR,Telekomunikasyon,2013,1,14.8,2.6946271807700692,0.0,0.0,9.020026965252676
BAYKAR,Telekomunikasyon,2014,2,24.1,3.1822118404966093,0.0,0.0,9.020026965252676
